sent_id,rev_id,sent_text,category,sentiment
0,689620611,Our suite overlooked the Singapore River and so we had amazing views.,room,1
1,689620611,"Its located within easy walk of many attractions or at worst, a 10-15 minute taxi ride for others including Sentosa Island.",others,1
2,689620611,Our check-in was swift and friendly.,service,1
3,689620611,Staff were welcoming at all times and most spoke English well enough to communicate quite comfortably with us.,service,1
4,689620611,Breakfast was of high caliber and of considerable variety.,food,1
5,689620611,Our suite was of high standard in cleanliness and appointments.,room,1
6,689620611,Planning to bring the family here next year and most definitely will be staying at this establishment.,,1
7,689620611,Highly Recommend this hotel.,,1
8,689494350,Thank you Giri and Ian for this experience at the Lighthouse Bar from the Fullerton Hotel..,food,1
9,689494350,Great view and tasty cocktails...,food,1
10,689494350,We can recommend the Singapore Sling and the Bellini..,,1
11,689494350,By the way the Chocolate Lava Cake was excellent...,,0
12,689448855,"The restaurant staff (Steve, Pat, Belle,KC, JH, Chloe, Zoey & Augustine made it an unforgettable experience for me!",service,0
13,689448855,Great service with a smile!,service,1
14,689448855,I am sure to recommend this wonderful restaurant to my friends through social media.,food,1
16,689447212,The food is great!,food,1
17,689447212,Service is great too!,service,1
18,689447212,A special shout out to Penny!,service,1
19,689447212,"She is very attentive, friendly and helpful.",service,1
20,689447212,"She gave good recommendations, made our ordering easy.",service,1
21,689447212,Mee Wan and Joppy were also helpful.,service,1
22,689447212,Had an enjoyable dinner.,food,1
23,689447097,I fell in love with Singapore at The Fullerton.,,1
24,689447097,The personal service we received at the Fullerton really made a difference.,service,1
25,689447097,"From the time we arrived, all throughout our stay and even after departure, the commitment to hospitality from Fullerton staff was second to none.",service,1
26,689447097,"  A beautiful heritage building with genuine, warm staff in a perfect waterfront location, close to all the major attractions.",service,1
27,689447097,The service we experienced echoed the charm of the Singapore of yesteryear.,service,1
28,689447097,"  There were so many little touches which made this feel like an authentic Singapore experience, like the offer of Kopi in traditional thick white china cups at breakfast.",food,1
30,689447097,At the same time we had the best of modern luxuries.,,1
31,689447097,"Other little things that made the difference: the most comfortable bedding, the toilet",room,1
32,689446360,The staff in Fullerten are very passionate in their service.,service,1
33,689446360,We have been well taken care off and have a wonderful dining experience.,,1
34,689446360,"  The staff are inclusive of JH, KC, Vivian, Zoey, Chloe, Sally, Steve and Belle.",service,0
35,689446360,Thank you so much.,,1
