,rev_id,sent_text,category,sentiment
3000,668105871,The view was breathtaking.,room,1
3001,668105871,Spagoo breakfast was delicious.,food,1
3003,668105871,"The room is so spacious with complete premium toiletries,  very comfortable bed and nice garden",room,1
3004,668066471,As seasoned travellers we have visited many hotels but was totally blown away by the Singapore warm welcome and this amazing hotel.,,1
3005,668066471,On arrival our hotel voucher was checked and we were sent down to another quieter check in desk - at tower 3.,service,0
3006,668066471,"We stayed on the 7th floor which you would think isn’t too high, it was definitely high enough to see the gardens of the bay every day from your window!",room,0
3007,668066471,"The rooms are amazing - automatic opening of the curtains when you enter the room, bottles of water every day and very well cleaned, The higher the floor you go the more expensive to stay but I would definitely stay this floor again.",room,1
3008,668066471,Lifts were efficient (only to be expected) and you got up to the pool very quickly (short change of lifts on the 34th floor) .,others,1
3009,668066471,Needing your room card - one for,,0
3010,668025280,One of the best hotel in the world is Marina bay sands hotel is located in Singapore bay and its look like boat great hotel nice food nice hotel and I love it my dream come true it was lovely atmosphere,food,1
3011,667995765,"Yes, this place looks amazing, the architecture is stunning, it is the symbol of Singapore.",,1
3012,667995765,Our suite was incredible complete with pool table cloakroom and full bathroom.,room,1
3013,667995765,"Housekeeping was excellent, the toiletries luxurious and were generously replenished throughout our stay.",room,1
3014,667995765,"The service levels in general is good, butler service is awesome.",service,1
3015,667995765,The treats left in the room each night for both adults and children alike are overly generous and really made my little ones holiday.,service,1
3016,667995765,The views from the roof top swimming pool pool are a selfie takers dream ........ if you can get to the edge for all the other selfie takers that is.,pool,1
3017,667995765,"Forget getting a recliner, that is a nigh on impossibility.",pool,-1
3019,667995765,The club lounge is good but the policy of charging for children under 10 years old needs reviewing.,others,1
3020,667992571,This hotel is an amazing exterior and our room was fabulous with a great city view.,room,1
3021,667992571,The infinitely pool and the shopping area was my favourite .The,pool,1
3022,667992571,stuff was so professional and kind.,service,1
3023,667992571,I will definitely be staying at this hotel on my next trip to Singapore .,,1
3024,667983214,Stayed here many many times but this time it was the most unpleasant one.,,-1
3025,667983214,The staff who sent out extra bed stood there expecting to be tipped and refused to leave.,service,-1
3026,667983214,After a while of ignoring him he left.,service,-1
3028,667983214,Anyway leaving a review here wouldn’t make a diff anyway as their management team will only copy paste a standard reply to everyone as this hotel is way too commercialised compared to when they first launched it.,service,-1
3030,667983214,Not my choice of hotel but since family wants I’ll follow.,,0
3031,667983214,"Otherwise I would pick Marriott Group hotels anytime over MBS’s commercialise, full of tourists, so busy, bad internet and nobody really cares about you.",service,-1
3032,667983214,Service is certainly not 5 stars - hotel is so big seriously nobody knows you.,service,-1
3033,667866489,Amazing place a must in Singapore.,,1
3034,667866489,Fantastic architecture and interior design.,,1
3035,667866489,Great restaurants and bars.,food,1
3036,667866489,There is a Casino inside.,,0
3037,667866489,Connected to the park and in front of the mall.,,0
3038,667866489,Attentive service.,service,1
3039,667866489,Very well connected.,,1
3040,667862082,"Stayed at Marina Bay Sands for a couple of nights, what a treat!!!",,1
3041,667862082,Upon check in the attendant upgraded us to the 36th floor with garden view.,service,1
3043,667862082,We were able to watch the light show from the comfort of our room :-).,,1
3044,667862082,The pool area which only hotel guests are allowed in is beyond words.,pool,1
3046,667862082,Worth every penny spent.,,1
3047,667855950,"Place was good with a-lot of activity inside marina bay good for shopping and casino , eating out Very good i do recommend,   but about the Hotel i feel so so compared to Ritz Carton and price more expensive than other place   ",others,1
3048,667850425,"My husband and I were spending a few days in Singapore and having heard wonderful things about this iconic hotel, we decided to break our budget and book a one night stay (it’s not cheap, I tell you!).",,1
3049,667850425,Was it worth the money?,,1
3050,667850425,ABSOLUTELY!,,0
3051,667850425,We arrived at Tower 1 at around 10am.,,0
3052,667850425,Check in is usually around 3pm but the front desk were very friendly and kindly allowed us to have an early check in without further cost.,service,1
3054,667850425,We booked a garden bay view room and it absolutely lived up to its name!,room,1
3055,667850425,The view from the balcony was amazing!,room,1
3056,667850425,We could see the towering Supergrove Trees and a beautiful view of Singapore.,others,1
3057,667850425,The room itself was above average.,room,1
3058,667850425,"Spacious, comfortable bed and a huge stand alone tub.  ",room,1
3059,667850425,"However, the main attraction of the hotel HAS to be the Infinity Pool.",pool,1
3060,667850425,As we had only,,0
3061,667817076,"Room 1909 We stayed at the Marina Bay Sands, on the 18th April 2019, for 1 night It was amazing.",room,1
3062,667817076,"We were greeted by the porter upon arrival, check in with Wati, who was very professional.",service,1
3063,667817076,"We went to our room, of which was spotless, lovely interior a lovely balcony.",room,1
3064,667817076,"At 7:30pm we had a knock at the door, to my surprise a Birthday cake was delivered, as it's my Birthday this month.",,1
3065,667817076,"We then visited the infinity pool, located on the 57 floor, wow",pool,1
3066,667817076,"wow, what a experience, can view Singapore 180 degrees.",,1
3067,667817076,"We absolutley loved the hotel, .",,1
3068,667817076,"We also found a food court, where we could sample the local foods.",food,0
3069,667817076,"I have been in the catering industry for over 19 years, and have never experienced such, passionate team of staff, it was a delight.",service,1
3070,667817076,I will be returning.,,0
3071,667587921,I will try to cut this short.,,-1
