,sent_text,sentiment,sentiment_pred_vader
1,The lobby was super busy and I found that a little disconcerting and impersonal.,-1.0,1.0
3,I'm glad I stayed here but not sure that I would again.,1.0,-1.0
5,This is a must stay even for most one night to use the infinity pool.,1.0,0.0
6,We had a view of the gardens by the bay and when it was lit up at night it was purely magical.,1.0,0.0
13,"I wanted to stay at the iconic Marina Bay Sands but was not sure that the price would offset the expiernce and through my travels, i have found these types of super high end resorts dont always have the personal touch.  ",0.0,1.0
19,From check in to room service to the concierge - all first class.,1.0,0.0
20,I found out that Michael Lee was VP of,,0.0
26,"We stayed 4 nights here for our honeymoon, we wanted to go with the cliche accommodation in Singapore for our first visit outside of Changi airport.  ",,0.0
32,Good luck also on getting a lounge to put your towel on whilst you,-1.0,1.0
33,It was my firstime to visit Singapore for a 3 days only.,,0.0
34,But I'd rather not to sleep and be on the streets walking around the beautiful city lights of #SG.Nextday still awake until i get my visa on the 3rd day.,,1.0
35,Singapore always has a clean environment that i could tell.,,1.0
36,From the local people to all there surrounding are such incredibly inseparable.,,0.0
37,Seeing Merlion and Marina Bay was a happy moment for me.,,1.0
38,I guess one day will be back again here.,,0.0
39,Sadly i just missed universal studio which is everyone's landmark.,,-1.0
40,Well theres always a time for everything.,,1.0
41,For all people wants to visit SG you will have fun.,,1.0
42,Not a big country but a very big heart and talented Singaporean local  people u met.,,1.0
46,All areas spotless & attention to detail is evident everywhere...,1.0,0.0
51,One day our room was not even cleaned.,-1.0,0.0
52,"When we informed the reception their comment was: maybe you had the ""do not disturb"" button on.",0.0,1.0
54,"The last evening we ordered 2 pizzas, one of them was burnt.",-1.0,0.0
64,"Bars, restaurants and the pool couldn’t fault it   ",1.0,-1.0
65,This place has it all!,1.0,0.0
68,"Shopping, light shows, great restaurants.",0.0,1.0
69,I loveit here!,1.0,0.0
70,We booked for Easter 2019 to stay 5 nights in a deluxe garden view room.,1.0,0.0
71,We wish we had only booked for 3 nights as that was more than enough.,,1.0
73,"  Needless to say, the hotel was very busy and with 2500 rooms and lots of day visitors, the lobby was always busy.",-1.0,1.0
77,"If you want a pool you can swim in or have available beds by the pool, stay somewhere else.",-1.0,1.0
79,I went to this hotel again after a few years and they have not kept their standard.,-1.0,0.0
81,The pool water was green.,-1.0,0.0
82,We checked out immediately and went to a different hotel.,-1.0,0.0
84,"quite crowded on the promenade, could be a better view from top floor.",0.0,1.0
86,Hotel charges tourists a whopping fee per person for a short visit to skydesk.,0.0,-1.0
89,instead a one day stay could be a better deal.,0.0,1.0
91,one has to walk a lot in Singapore. must plan for a weeks stay minimum to see few of the attractions and part of the city.,0.0,1.0
92,Thogh the MRT & busses networks excellent one must have  budget for taxis as well.,0.0,1.0
93,research well for food.,0.0,1.0
