,sent_text_mod,category,preds
994,one thing highlight could able marina bay light show clearly room select club room,none,room
1977,go observation deck price step bar,other,food
379,get cheap room possible,none,room
1951,offer free wheelchair helpful,none,service
2505,bath tub amaze,room,none
978,stay 2 night lucky upgrade whopping suite,service,none
2074,1 day conference conference hall quiet good lighting equipment,other,none
1562,amaze view hotel room marina bay roof top infinity pool superb selection food sumptuous delicious one restaurant lobby definitely comeback another visit family friend,food,pool
73,needless say hotel busy 2500 room lot day visitor lobby always busy,other,room
869,otherwise would pick marriott group hotel anytime mb commercialise full tourist busy bad internet nobody really care,service,none
1945,balcony overlook garden bay,room,other
1177,also jacuzzis face queue mega ship harbour endless joy,pool,none
1641,positive great view unrestricted access infinity pool level 57 skypark observation deck great gym fantastic view level 55 friendly staff,service,pool
394,hour simply magnificent view city sea,pool,room
3299,pay extra viewing platform unhappy didnâ,other,none
1910,oool deck take point,pool,none
610,central hotel good view,other,room
929,convenience quality club55 experience worth added cost club level room,other,room
1250,hotel huge massive really feel personalized,service,none
3020,view incredible pool amazing staff helpful attentive genuine,pool,service
463,xi mei clean room beautifully make towel sculpture picture,service,room
1880,get one face view,none,room
1226,room wonderful every respect decor comfort cleanliness service second none,room,service
1859,eventually agree bring fold bed,service,room
2099,also expensive,none,food
482,would recommend least spend one night experience skypark available hotel guest,other,none
1576,recommend hotel club 55 highly enough,food,none
2926,view priceless service impeccable,none,service
246,fantastic experience thanks sherman make stay husband 60th perfect,service,none
2852,stood wait acknowledgement young lass busy texting,service,none
2959,overlooks marina clean family friendly,other,service
362,lift service 19th floor terminates 22 change lift reach top spend great deal time lift,other,service
1695,number hotel great engineering feat lag badly warm feeling luxury hotel,service,none
431,huge recommendation see view,none,room
2033,short walk marina amazing view restaurant,other,food
1215,bathroom modern invite actually first hotel tub,room,none
31,give amount people enjoyable take dip sure put head water,pool,none
2886,amazing room product service quality despite high occupancy,room,service
3394,place add check list visit singapore,none,service
2150,guess people chance check social medium keep jones,none,service
1930,cleanliness also awesome girl responsible,room,none
764,room service fabulous even cleaner fantastic leave us extra tea bag could see like tea,service,room
885,arrive tower 1 around 10am,none,service
1774,recommend stay place else swing drink rooftop one bar,none,food
1697,club large need many guest access,service,none
600,nothing really wrong feel impersonal detach,service,none
867,anyway leave review make diff anyway management team copy paste standard reply everyone hotel way commercialised compare first launch,service,none
358,fabulous hotel hiccup booking deal concierge man never hear commonsense make frustrate,service,none
583,outside hotel look stun arrive night even,other,none
1359,yet feed lift every time want go room compete army tourist want travel top,other,room
580,fixture hotel suite fantastic,room,none
1131,bath robe pretty ordinary bath towel small,room,none
2807,look true luxury experience charm quality service recommend stay fullerton hotel,none,service
907,give us bay view room pay repeatedly try tell us garden view bay view could respond question difference price come,service,room
2740,tree show water show world highly recommend,other,none
2521,stay hotel enjoy walk around hotel shoppes,other,none
1912,able find bed instantly,none,room
706,locate bayfront mrt station step away lively central business district,other,none
1523,sure check current promotion,none,service
3056,taste neither anyone ask us would need something else,food,none
122,tell pay coz ask leave marina,room,none
849,lift efficient expect get pool quickly short change lift 34th floor,other,pool
1729,around 30th floor balcony overlook garden bay,room,other
3237,however pay 100 singaporean dollar extra bed hit overprice,other,room
1425,however basic amenity like toiletry cheap look,room,none
2561,furthermore building big lack personal touch,room,none
44,arrive 1000 check hill great able get room excellent service book sky view room definitely disappoint view fantastic especially night singapore bay come life,none,room
2105,outmaneuver couple time finally get chair,pool,none
1713,kudos waiter like angelo rev james superb job take good care us,service,none
3385,would recommend share continental full english big eater,food,none
2798,great room world pool,room,pool
