sent_id,rev_id,sent_text,category,sentiment
0,689620611,Our suite overlooked the Singapore River and so we had amazing views.,room,1.0
1,689620611,"Its located within easy walk of many attractions or at worst, a 10-15 minute taxi ride for others including Sentosa Island.",food,1.0
2,689620611,Our check-in was swift and friendly.,service,1.0
3,689620611,Staff were welcoming at all times and most spoke English well enough to communicate quite comfortably with us.,service,1.0
4,689620611,Breakfast was of high caliber and of considerable variety.,food,0.0
5,689620611,Our suite was of high standard in cleanliness and appointments.,none,0.0
6,689620611,Planning to bring the family here next year and most definitely will be staying at this establishment.,none,1.0
7,689620611,Highly Recommend this hotel.,none,1.0
8,689494350,Thank you Giri and Ian for this experience at the Lighthouse Bar from the Fullerton Hotel..,food,1.0
9,689494350,Great view and tasty cocktails...,food,1.0
10,689494350,We can recommend the Singapore Sling and the Bellini..,none,1.0
11,689494350,By the way the Chocolate Lava Cake was excellent...,none,0.0
12,689448855,"The restaurant staff (Steve, Pat, Belle,KC, JH, Chloe, Zoey & Augustine made it an unforgettable experience for me!",service,0.0
13,689448855,Great service with a smile!,service,1.0
14,689448855,I am sure to recommend this wonderful restaurant to my friends through social media.,food,1.0
16,689447212,The food is great!,food,1.0
17,689447212,Service is great too!,service,1.0
18,689447212,A special shout out to Penny!,none,1.0
19,689447212,"She is very attentive, friendly and helpful.",service,1.0
20,689447212,"She gave good recommendations, made our ordering easy.",none,1.0
21,689447212,Mee Wan and Joppy were also helpful.,service,1.0
22,689447212,Had an enjoyable dinner.,food,1.0
23,689447097,I fell in love with Singapore at The Fullerton.,none,1.0
24,689447097,  The personal service we received at the Fullerton really made a difference.,service,0.0
25,689447097,"From the time we arrived, all throughout our stay and even after departure, the commitment to hospitality from Fullerton staff was second to none.",service,1.0
26,689447097,"  A beautiful heritage building with genuine, warm staff in a perfect waterfront location, close to all the major attractions.",service,1.0
27,689447097,The service we experienced echoed the charm of the Singapore of yesteryear.,service,1.0
28,689447097,"  There were so many little touches which made this feel like an authentic Singapore experience, like the offer of Kopi in traditional thick white china cups at breakfast.",food,1.0
30,689447097,At the same time we had the best of modern luxuries.,none,1.0
31,689447097,"Other little things that made the difference: the most comfortable bedding, the toilet",room,1.0
32,689446360,The staff in Fullerten are very passionate in their service.,service,1.0
33,689446360,We have been well taken care off and have a wonderful dining experience.,none,1.0
34,689446360,"  The staff are inclusive of JH, KC, Vivian, Zoey, Chloe, Sally, Steve and Belle.",service,0.0
35,689446360,  Thank you so much.,none,1.0
36,689446360,We feel exclusive dining in Town Restaurant.,food,1.0
37,689442994,Went with friends for the Sunday night buffet.,food,1.0
38,689442994,"Great selection of Thai, Japanese and other food.",food,1.0
39,689442994,Excellent quality and very friendly staff.,service,1.0
40,689442994,Thx Steve and team for the kind birthday cake and photo!,none,1.0
41,689442994,Definitely coming and with current promotion outstanding value!!,none,1.0
42,689442968,"Great service, very wide variety of food, with fresh seafood and many options even for our vegetarian members!",food,1.0
43,689442968,Staff were very attentive and made a great effort to ensure my grandma’s birthday would be one to remember.,service,1.0
44,689442968,"Special thanks also to Chloe, KC, Pat, JH, Steve, Sally, Belle and Zoey!",none,1.0
45,689438937,Cooked selection was extensive and delicious.,food,1.0
46,689438937,The thai dishes were very authentic and could be part of a permanent menu.,none,0.0
47,689438937,"Steve and his team (Chloe,KC, Pat,J4,Zoey,Belle,Sally)  was friendly and made the entire experience a pleasant one.",service,1.0
48,689431489,مكثت في الفندق 6 ايام كان الفندق مميز ورحب وتعامل من قبل موظفة الاستقبال الكوريه sun kim تعامل مميز وبشاشه في الاستقبال اقدم لها الشكر على التعامل المميز  اما الفندق خدماته جيده والنظافه ممتازه وقريب من السنتر واطلالته على البحيره زادت من,none,0.0
50,689389257,"Aldin, Sherlyn, Esther, Albert & Lailikumar did a splendid job with assisting us during the meal and giving us a delightful experience the whole time we were there.",none,1.0
51,689389257,They were always smiling and extremely friendly.,service,1.0
52,689389257,Thank you for a lovely time.,none,1.0
53,689389257,"Jack, Daniel, Wayne, Hafiz, Ravi & Sugu were incredibly helpful with our shopping bags and with our questions on the museums.",service,1.0
54,689385935,"Gorgeous afternoon tea, and very attentive service!",service,1.0
55,689385935,Would recommend The Fullerton for anyone looking for a stunning hotel stay in Singapore!,none,1.0
56,689385935,Thanks Camilla and Lalikumar for your attention to detail!,none,1.0
57,689385935,Will definitely return.,none,1.0
58,689384882,"afternoon tea was great, delectable selection of savoury and sweet food items with a wide variety of tea and coffee.",food,1.0
59,689384882,All servings food and drinks were unlimited.,food,0.0
60,689384882,"Very pleasant ambience and atmosphere, and Lalikumar and Camilla were really friendly as well.",service,1.0
61,689381160,"Lailikumar, Jennie & Albert did an outstanding job at providing implacable service.",service,1.0
62,689381160,It made my friend's birthday celebration extra special and very personalised.,none,1.0
63,689381160,Will definitely tell friends about the Fullerton service,service,1.0
64,689363934,The rooms and all amenities in the rooms are excellently efficient.,room,1.0
65,689363934,The hotel facilities are great.,none,1.0
66,689363934,We love theview from the pool.,pool,1.0
67,689363934,The staff are friendly and helpful.,service,1.0
68,689363934,"The hotel is surrounded by restaurants, attractions, shops, banks, etc.",food,1.0
69,689363934,All is in a walking distance (5-15 minutes walk).,none,0.0
70,689218090,The chocolate buffet was delicious and the service was excellent.,food,1.0
71,689218090,"The staff Lalikumar, Albert, and Jennie were very friendly and attentive to our needs.",service,1.0
72,689218090,There was a wide variety of chocolate desserts to choose from.,food,0.0
73,689218090,Worth while if you have spare cash.,none,1.0
74,689217675,The chocolate buffet was awesome!,food,1.0
75,689217675,A must try is the Hot Chocolate Green Tea!,food,0.0
76,689217675,The ambience and location was excellent.,none,1.0
77,689217675,"Worth the price for the exquisite chocolates~ Special thanks to Lalikumar, Albert and Jennie for the excellent service.",service,1.0
78,689214300,We had a birthday celebration at Town restaurant and it was wonderful.,food,1.0
79,689214300,The spread was great and of quality.,none,1.0
80,689214300,"Many thanks to the team (Pat, Lucia, JH, Belle, Chloe, Vivian and Steve) for the excellent and attentive service!",service,1.0
81,689214043,We were so delighted to have the most pleasant dining experience at Jade restaurant Fullerton Hotel.,food,1.0
82,689214043,"We reserve a table for 2 specifying for birthday celebration, requesting to try their new menu ""Taste The Future"" (vegetarian course meal featuring Omnipork).",none,0.0
83,689214043,The receptionist & waiters/waitresses welcome us with warm greetings despite being 45mins late.,none,1.0
84,689214043,"They are flexible with menu selection despite the fact that menu stated to have a Minimum of 2 person ordering the normal cuisine $68 course meal, they allow us to order that course meal for ONLY ONE person, and i ordered another vegetarian cuisine course meal cost $68.",food,1.0
85,689214043,The food tasted good & all were beautifully presented.,food,1.0
86,689214043,We were served by a very committed team of staffs who provided superb services to us.,service,1.0
87,689214043,Yvonne has been,none,0.0
88,689213458,Amazing dessert buffet with the most amazing plated dessert.,food,1.0
89,689213458,Every dish is an experience.,none,0.0
90,689213458,"Lalikumar, Albert and Jennei were attentive to our every need and were great company throughout our evening.",none,1.0
92,689213452,"Food was well crafted, rich in taste and exquisite.",food,1.0
93,689213452,"My sister and I enjoyed wonderful service by Lalkumar, Albert and Jennie who were all extremely attentive, courteous and friendly.",service,1.0
94,689213452,"The staff were thoughtful enough to proffer a cake and a printed photo in commemoration of my birthday, and I deeply appreciate the kind thought.",service,1.0
