,rev_id,sent_text,,sentiment
2000,673847825,I was able to have a swim and take the photo but didn't want to stay because of the crowds.,pool,-1
2001,673847825,The lobby was super busy and I found that a little disconcerting and impersonal.,experience,-1
2002,673847825,"But once I got to my room, it was very peaceful.",room,1
2003,673847825,I'm glad I stayed here but not sure that I would again.,experience,1
2004,673838523,"The hotel is amazingly stunning, from when you first step out of the taxi to getting to your room.",experience,1
2005,673838523,This is a must stay even for most one night to use the infinity pool.,pool,1
2006,673838523,We had a view of the gardens by the bay and when it was lit up at night it was purely magical.,other,1
2007,673600522,Marina Bay Sands totally is the best part of Singapore every beautiful part is in there .,other,1
2008,673600522,"The hotel the science museum , garden by the bay .",other,0
2009,673600522,I think if you want to visit Singapore you should totally stay at least one night there .,experience,1
2010,673600522,The infinity pool is fantastic you can view all the city from there .,pool,1
2011,673600522,The hotel luxurious but so many people normal I think .,experience,0
2012,673600522,,,
2013,673561090,"I have been wanting to come to Singapore for years, so i used my 40th Wedding Anniversary as the reason to come.",,0
2014,673561090,,,
2015,673561090,"I wanted to stay at the iconic Marina Bay Sands but was not sure that the price would offset the expiernce and through my travels, i have found these types of super high end resorts dont always have the personal touch.  ",experience,0
2016,673561090,THIS PLACE IS UNBELIEVABLE!!!,experience,1
2017,673561090,,,
2018,673561090,"From the moment we pulled up and were greeted by the staff, we felt welcomed.",service,1
2019,673561090,,,
2020,673561090,The room was amazing with all the right touches.,room,1
2021,673561090,,,
2022,673561090,"The view was stunning, but I must say that the staff is what made this trip so nice.  ",service,1
2023,673561090,"They were very nice, very responsive and make us feel special and welcomed every step of the way.",service,1
2024,673561090,,,
2025,673561090,From check in to room service to the concierge - all first class.,service,1
2026,673561090,,,
2027,673561090,I found out that Michael Lee was VP of,,
2028,673346877,"We decided to stay here for our last part of our holiday in Singapore and were not disappointed, so many mixed reviews about this place, but my review is based on our experience.",experience,1
2029,673346877,"From check in on our first day, we were treated like royalty (probably because we were in a Grand Club Room on the 37th Floor).",service,1
2030,673346877,"Once we got to our room, we were not disappointed.",room,1
2031,673346877,"A large room with king bed, floor to ceiling glass windows overlooking the city, large bathroom with a bath where you could sit in and enjoy watching the Garden Bay light show without even walking around!",room,1
2032,673346877,"We had access to Club 55 which was really good, a great breakfast with plenty to choose from, afternoon tea was a bit hit and miss with limited foods, and the evening canapes and drinks was value for money with amazing views",other,1
2033,673336534,"We stayed 4 nights here for our honeymoon, we wanted to go with the cliche accommodation in Singapore for our first visit outside of Changi airport.  ",,
2034,673336534,The staff were excellent and friendly given the amount of people that stay and pass by this hotel.,service,1
2035,673336534,Skypark has great views of the whole city and gardens and wasnt too crowded when we went.,other,1
2036,673336534,,,
2037,673336534,The infinity pool side however was over the top crowded and we went at 10pm at night - would hate to see what it was like during the day especially when the sun is out.,pool,-1
2038,673336534,Yes the view is amazing and it's a great instagram photo opportunity,,1
2039,673336534,"but that's about it, given the amount of people it's not enjoyable at all to take a dip and i for sure was not putting my head under water.",pool,-1
2040,673336534,Good luck also on getting a lounge to put your towel on whilst you,pool,-1
2041,673336534,re,,
2042,673327699,It was my firstime to visit Singapore for a 3 days only.,,
2043,673327699,But I'd rather not to sleep and be on the streets walking around the beautiful city lights of #SG.Nextday still awake until i get my visa on the 3rd day.,,
2044,673327699,Singapore always has a clean environment that i could tell.,,
2045,673327699,From the local people to all there surrounding are such incredibly inseparable.,,
2046,673327699,Seeing Merlion and Marina Bay was a happy moment for me.,,
2047,673327699,I guess one day will be back again here.,,
2048,673327699,Sadly i just missed universal studio which is everyone's landmark.,,
2049,673327699,Well theres always a time for everything.,,
2050,673327699,,,
2051,673327699,For all people wants to visit SG you will have fun.,,
2052,673327699,Not a big country but a very big heart and talented Singaporean local  people u met.,,
2053,673327699,,,
2054,673327699,#,,
2055,673327699,youwillmissforever,,
2056,673263682,Stayed for 1 night in this fabulous hotel.,experience,1
2057,673263682,"Arrived just after 1000 checked in, with Hill where she was great & we were able to get our room, excellent service .We had booked a sky view room & definitely were not disappointed the view was fantastic, especially at night when Singapore Bay comes to life.",experience,1
2058,673263682,"Spent the rest of the day at the pool, unbelievable views really amazing all staff very attentive.",pool,1
2059,673263682,,,
2060,673263682,All areas spotless & attention to detail is evident everywhere...,experience,1
2061,673181565,The hotel is overrated and the money not worth it.,experience,-1
2062,673181565,We had a room in Tower 1 for 3 and the 3rd person got a kids bed.,room,0
2063,673181565,Even though we complained they couldn't give us another room.,room,-1
2064,673181565,Seems to be standard according to the receptionist.,service,0
2065,673181565,One day our room was not even cleaned.,room,-1
2066,673181565,"When we informed the reception their comment was: maybe you had the ""do not disturb"" button on.",service,0
2067,673181565,This was not the case as the button was broken anyway.,service,-1
2068,673181565,"The last evening we ordered 2 pizzas, one of them was burnt.",food,-1
2069,673181565,"When I called the service and told her about the burnt pizza, all she said was: I'm so sorry to hear that",food,-1
2070,673181565,and I will provide your feedback to our Chef.,food,0
2071,673181565,The hotel has several rooftop bars.,food,0
2072,673181565,The cocktails cost between 25.00 and 30.00 S$,food,0
2073,673181565,but the quality of the drinks is not always good.,food,-1
2074,673181565,And,,0
2075,673181565,the drinks inside,food,0
2076,673148155,This hotel is outlet of this world,experience,0
2077,673148155,"The lobby is breathtaking, the staff so friendly and helpful Our room has a stunning view over the city and the gardens ( recommend an Orchid Suite) and on as high a floor as you can get .",room,1
2078,673148155,We were on the 46th floor.,room,0
2079,673148155,,,0
2080,673148155,"Bars, restaurants and the pool couldn’t fault it   ",pool,1
2081,673148155,Thank you,,1
2082,673032301,Marvelous.,experience,1
2083,673032301,Breathtaking.,experience,1
2084,673032301,Spectacular.,experience,1
2085,673032301,,,0
2086,673032301,This place has it all!,experience,1
2087,673032301,Beautiful rooms with breathtakingly gorgeous views.,room,1
2088,673032301,The staff is super welcoming and there is so much to do.,service,1
2089,673032301,"Shopping, light shows, great restaurants.",food,0
2090,673032301,I loveit here!,experience,1
2091,672989011,We booked for Easter 2019 to stay 5 nights in a deluxe garden view room.,experience,1
2092,672989011,We wish we had only booked for 3 nights as that was more than enough.,,
2093,672989011,We had a room on the 27th floor with lovely views of Gardens on the Bay and really enjoyed the nightly music and lights show at 7.45 pm.,other,1
2094,672989011,"  Needless to say, the hotel was very busy and with 2500 rooms and lots of day visitors, the lobby was always busy.",experience,-1
2095,672989011,The greatest asset of this hotel is its staff who were all so friendly and willing to help.,service,1
2096,672989011,,,0
2097,672989011,"Given how busy the hotel was, check in was fast and efficient, as was check out.",service,1
2098,672989011,This is an iconic hotel and a great feat of engineering which amazed us.,experience,1
2099,672989011,,,0
2100,672989011,"If you want a pool you can swim in or have available beds by the pool, stay somewhere else.",pool,-1
2101,672989011,,,0
2102,672989011,We never once got a sunbed by the pool although,pool,0
