,rev_id,sent_text,category,sentiment
0,691636950,We splurged on our last night in Singapore to stay at the Marina Bay Sands.,,0
1,691636950,It's a beautiful building & linked to the Gardens by the Bay which is also beautiful.,other,1
2,691636950,However it is very impersonal & very expensive (& I don't think justifies the price tag).,service,-1
3,691636950,The room was huge (probably too big) and the sofa bed which had my 2 sons in creaked endlessly.,room,1
4,691636950,"The furnishings re lovely & it does feel luxurious (especially the bathroom) - and the view over the Gardens is great), however even from the 9th floor you can hear the traffic noice of the busy road below.",room,1
5,691636950,We spent all day by the pool (1pm - 8pm) and even had dinner there - the views are incredible.,pool,1
6,691636950,But it is so busy and getting pool service was a struggle.,service,-1
7,691636950,My son then fell ill at 3am throwing up & diarrhoea.,,-1
8,691636950,I put it down to being in,,0
9,691610644,Located opposite of one iconic building in Singapore Marina Bay Sands.,,0
10,691610644,Where is the casino located.,others,0
11,691610644,Feel the experience of high class shopping and dining.,others,0
12,691610644,"Don't forget  to watch ""Spectra"" light and water show.",others,1
13,691452668,We stayed for just one night in July 2019 and gosh i wish it could have been longer.,,1
14,691452668,,,0
15,691452668,We had a room for 3 adults and it was huge!!,room,1
16,691452668,A fully made up sofa bed and a huge king size bed.,room,1
17,691452668,,,0
18,691452668,Our view was of The Gardens by the Bay.,others,0
19,691452668,It felt so luxurious!,,0
20,691452668,The infinity pool has to be the highlight and we took numerous photos of ourselves with an amazing backdrop.,pool,1
21,691452668,The obligatory Singapore Sling was necessary although we had two each and a club sandwich and that was Â£80 which was excessive but we were in holiday mode so we felt we could spoil ourselves!,food,1
22,691452668,,,0
23,691452668,I would highly recommend this hotel and ask for a view of the gardens as you have your own private light show in the evenings!,others,1
24,691335096,Clearly the building is a Singapore landmark.,,0
25,691335096,The three towers are connected with the sky deck and unique infinity pool.,pool,0
26,691335096,"All facilities are nearby with the gardens, the conference Center and the shipping facilities.",others,0
27,691335096,That said the hotel is too massive.,,0
28,691335096,The lobby covers the complete ground floor of the building which make it very noisy and unpersonal.,others,-1
29,691335096,Furthermore the building is so big that it lacks a personal touch.,room,-1
30,691335096,Cool experience though I will not come back,,-1
31,691325714,Stayed for 3 nights.,,0
32,691325714,Everything about the hotel and the surrounding area is out of this world.,,0
33,691325714,You need deep pockets for food and drink though.,food,0
34,691325714,Roof top is incredible donâ€™t be put off if you donâ€™t like heights as I donâ€™t,pool,1
35,691325714,and I coped ok,,1
36,691288688,Myself and my partner stayed here to celebrate my birthday in the club city view room.,room,1
37,691288688,Afternoon tea was provided from 2-4 and complimentary drinks(including alcoholic beverages) and canopies from 5-7pm.,food,0
38,691288688,Breakfast is also included.,food,0
39,691288688,If you are staying for just one night you will not want to leave the hotel and eating dinner etc. may prove very expensive.,food,-1
40,691288688,I would highly recommend booking the club room although it is more expensive it is worth it for all perks that are included.,room,1
41,691288688,The staff were all incredibly welcoming and I would return in a heartbeat.,service,1
42,691288688,If you are staying in Singapore and your budget will allow you should certainly tick this hotel off your bucket list.,,1
43,691234925,I was here for a conference and it was a good choice for an event requiring many people to be housed together.,,1
44,691234925,Glad however it was on expenses as the on site bars and restaurants are eye watering expensive - at least when paying in GBP.,food,0
45,691234925,"Good location, very comfortable rooms, though very busy indeed, such as queuing for breakfast table.",room,1
46,691234925,"My personal choice would be somewhere a bit more chilled, such as the Fullerton for this part of Singapore.",,0
47,691234925,However itâ€™s a matter of personal choice and it was certainly an experience staying here.,,0
48,691149589,Happily to stay in very nice room at the 46th floor in this time likewise our family always be your regular customer visit MBS and enjoy  beautiful time here again.,room,1
49,691149589,"It's not only such a charming outdoor view for us to admire, but also we are satisfied with the buffet dinner in the lobby on the first floor.",food,1
50,691149589,"Apart from the delicious and rich food, the attentive and enthusiastic service of the waiter named Win has brought us a wonderful experience.",food,1
51,691149589,"Let us Really realized the highest quality of the MBS from the hotel staff, fully reflects the hotel's incomparable honor and status!",service,1
52,691149589,We like win's service and hope you continue to hire such good attitude staff!,service,1
53,691084627,Large queue to check-in which took some time to go down and no apology for our wait - Not expected at a 5 star hotel.,service,-1
54,691084627,,,0
55,691084627,Room was very big with ample space and was very clean.,room,1
56,691084627,The views of the Garden's by the Bay were outstanding.,others,1
57,691084627,,,0
58,691084627,"Hotel was not too busy compared to others like the Venetian, perhaps because some attractions such as the observatory deck are separate to the infinity pool.",pool,1
59,691084627,,,0
60,691084627,"The pool is definitely the other highlight of this hotel, whilst the child-friendly side was extremely busy, the adults only area was quiet with many loungers.",pool,1
61,691084627,,,0
62,691084627,A couple of negatives: Service did not meet expectations of a 5-star premium hotel such as a 10% service charge on all food and drinks.,service,-1
