lot_frontage,overall_qual,mas_vnr_area,exter_qual,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,total_bsmt_sf,heating_qc,central_air,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_finish,garage_cars,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,fence,log_saleprice,yrs_since_year_remod_add,yrs_since_year_built,log_lot_area,ms_zoning_rm,ms_zoning_others,lot_shape_reg,lot_shape_others,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_idotrr,neighborhood_mitchel,neighborhood_names,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_others,roof_style_hip,roof_style_others,exterior_1st_hdboard,exterior_1st_metalsd,exterior_1st_plywood,exterior_1st_vinylsd,exterior_1st_wd_sdng,exterior_1st_others,mas_vnr_type_none,mas_vnr_type_others,foundation_cblock,foundation_pconc,foundation_others,ms_subclass_30,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_80,ms_subclass_120,ms_subclass_160,ms_subclass_others
82.5406958558327,6,289.0,4,3,3,1,6,533.0,725.0,5,1,725,754,1479,0.0,2,1,4,6,0,5,2,2.0,2,0,44,0,0,11.779128505744886,16,45,9.511703431483827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
43.0,7,132.0,4,4,3,1,6,637.0,913.0,5,1,913,1209,2122,1.0,2,1,4,8,1,5,2,2.0,2,0,74,0,0,12.301382825334498,24,25,9.34940642009918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
68.0,5,0.0,3,3,3,1,6,731.0,1057.0,3,1,1057,0,1057,1.0,1,0,4,5,0,1,1,1.0,2,0,52,0,0,11.59910316121128,14,68,8.977398978181862,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
73.0,5,0.0,3,4,3,1,1,0.0,384.0,4,1,744,700,1444,0.0,2,1,3,7,0,3,3,2.0,2,100,0,0,0,12.066810578196666,14,15,9.190341725469493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
82.0,6,0.0,3,2,4,1,1,0.0,676.0,3,1,831,614,1445,0.0,2,0,3,6,0,1,1,2.0,0,0,59,0,0,11.83862560460953,28,121,9.563458999712138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
137.0,6,0.0,4,3,3,1,5,247.0,1517.0,5,1,1888,0,1888,0.0,2,1,4,6,1,5,3,2.0,2,0,0,0,0,12.154779351142624,19,55,9.71063069382679,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
35.0,6,82.0,3,4,3,4,6,547.0,547.0,4,1,1072,0,1072,1.0,2,0,3,5,0,4,3,2.0,2,0,44,0,0,11.84939770159144,15,16,8.209308411646937,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
78.61597509282512,5,180.0,3,3,3,1,3,1000.0,1188.0,2,1,1188,0,1188,1.0,1,0,3,6,0,5,2,2.0,2,0,0,0,3,11.863582336583399,62,62,9.405907155520158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88.67832717259031,5,0.0,3,3,3,1,3,292.0,924.0,3,1,924,0,924,0.0,1,0,3,6,0,1,1,1.0,2,0,324,0,3,11.630708500626612,69,69,9.666688690398917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
70.0,5,192.0,3,4,3,3,3,650.0,1040.0,3,1,1040,1040,2080,0.0,1,2,2,9,2,5,1,2.0,2,335,0,0,0,11.813030057420567,52,52,9.359277484750553,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
